Mes chers compatriotes,	친애하는 동포들,	Mi Compatriotots:
Ou la crise climatique aux effets spectaculaires encore cet été dans notre pays ?	아니면 이번 여름에 우리나라에서 다시 화려한 영향을 미치는 기후 위기?	Aut caeli discrimine cum spectaculi effectus iterum aestate in patria
Pourtant, au fil de ces saisons de dangers, ce qui est demeuré constant, une fois encore cette année, est notre capacité collective à relever ensemble ces défis.	그러나 올해 다시 한 번 일정하게 유지 된이 위험의 계절에 따라 이러한 도전을 함께 충족시킬 수있는 집단적 역량입니다.	Tamen, super his temporibus periculis, quae manere constans, cum adhuc hoc anno, est nostra collective facultatem ad occursum his challenges simul.
Oui, durant cette année, la France a porté avec l’Europe la voix du droit et de la liberté pour soutenir l’Ukraine ; des milliers d’entre vous ont fait œuvre de solidarité en accueillant, dans nos villes et nos villages, des réfugiés fuyant l’invasion russe.	그렇습니다. 올해 프랑스는 유럽과 우크라이나를 지원할 법의 목소리와 자유를 가져 왔습니다.수천 명의 사람들이 우리 도시와 마을에서 러시아 침략을 피하는 난민들을 환영함으로써 연대를 해왔습니다.	Ita, in hoc anno, Gallia protulit cum Europa vox legis et libertatem ad auxilium Ucraina;Milia tu feci solidarietatis per excipit, in civitatibus nostris et villis, fuga fugientes Russian incursio.
La solidarité nationale, financée par les contribuables français, a permis d’atténuer la hausse des prix de l’énergie pour chacun, de sauvegarder nos entreprises, de protéger particulièrement les revenus des plus modestes d’entre nous. Et grâce à notre action collective, nous avons soutenu la croissance, contenu l’inflation à des niveaux inférieurs à ceux que connaissent nos voisins, et porté le chômage à son plus bas depuis quinze ans. Nous avons en effet cette année continué de créer des emplois, et des emplois de qualité.	프랑스 납세자들이 자금을 지원하는 국가 연대는 모든 사람의 에너지 가격 인상을 완화하고, 비즈니스를 보호하고, 특히 우리 중 가장 겸손한 소득을 보호하기 위해 가능하게 만들 수있었습니다.그리고 우리의 집단 행동 덕분에 우리는 성장을지지했으며, 이웃이 알고있는 것보다 낮은 수준에서 인플레이션을 포함하여 15 년 동안 실업률을 최저 수준으로 이끌었습니다.올해 우리는 계속 일자리와 양질의 일자리를 창출했습니다.	Nationalibus solidarietatis, funded by Gallico Ago, quod factum est possibile ut mitigare incremento in industria prices for omnibus, ut tutela nostris negotiis, ut praesertim praesertim in reditibus ex maxime modesta nobis.Et gratias nostrae collectivo actio, incrementum sustentabimus, incremento incremento ad gradus inferiores quam his qui vicinis nostris sciunt et adduxit otium ad eius infima quindecim annis.Hoc anno nos continued creare jobs et qualitas jobs.
A chaque épreuve, l’Europe nous a permis d’agir plus vite et plus fort.	각 행사에서 유럽은 우리가 더 빠르고 강하게 행동 할 수있게 해주었다.	Quisque res, Europa permisit nos agere citius et fortior.
Pour créer un bloc de résistance unie face à la Russie, pour réinvestir dans nos industries ; et surtout pour trouver à la dimension du continent les réponses aux défis du siècle.	우리 산업에 재투자하기 위해 러시아에 대한 저항의 연합 블록을 만들기 위해;그리고 무엇보다도 대륙의 차원에서 세기의 도전에 대한 반응을 찾아야합니다.	Ad creare united obstructionum resistentiae ad Russia, ut reinvest in industries;Et super omnes invenire ad dimensionem continentis responsa ad challenges in saeculum.
Ainsi, pendant les six premiers mois de cette année, alors que la France présidait le Conseil de l’Union européenne, nous avons pris les décisions pour réduire de plus de moitié nos émissions de gaz à effet de serre d’ici 2030, nous avons acté une taxe carbone à nos frontières pour protéger nos industries et notre planète, nous avons ensemble décidé de créer un impôt minimal sur les grandes multinationales pour lutter contre l’évasion fiscale, et nous avons ensemble commencé à mieux encadrer les grandes plateformes du numérique.	따라서 올해 첫 6 개월 동안 프랑스가 유럽 연합 협의회를 주재했을 때, 우리는 2030 년까지 온실 가스 배출을 줄이기위한 결정을 내렸다. 그리고 우리의 지구, 우리는 함께 탈세와 싸우기 위해 최소한의 다국적 세금을 창출하기로 결정했으며, 대형 디지털 플랫폼을 더 잘 감독하기 시작했습니다.	Ut, in primo sex mensibus huius anni, cum Gallia praesidet in Concilio Europaeae Unionis, ut factum est ad redigendum nostra CONSERVATORIUM Gas emissiones a MMXXX, habemus habemus actus carbon tributum ad nostram terminos tuendasque nostro industries Et nostra Planet, habemus simul placuit ad partum a minima multinational tributum ad pugnam tax elabi, et nos coepi ad melius cura magna digital platforms.
Et malgré toutes ces crises, tous ces défis, 2022 fut aussi, pour nous tous, une année démocratique intense au cours de laquelle vous avez renouvelé notre Assemblée nationale et où vous avez, lors de l’élection présidentielle de ce printemps, décidé de me confier un nouveau mandat de cinq ans à la tête de notre nation, ce qui m’honore et m’oblige.	그리고이 모든 위기에도 불구하고, 2022 년은 우리 모두에게 우리 모두에게 강렬한 민주주의 한 해였으며,이 기간 동안 당신은 우리 국회의원을 갱신했으며 올 봄 대통령 선거 기간 동안 새로운 5 년을 맡기기로 결정했습니다. 우리 나라의 수장에있는 용어는 저를 존중하고 강요합니다.	Et non obstante omnia discrimina, omnia challenges, MMXXII fuit etiam, pro omnibus nobis, an intensus popularis annus in quo renovatis National Conventus et ubi tu in praesidentiale electionem hoc vere, placuit ad commendandam novam quinque -year terminus ad caput nostrae gentis, quod honores et viribus me.
2022 fut aussi une fois encore une année de rayonnement artistique, culturel, sportif de notre pays, avec deux Prix Nobel, et tant de grands moments de création et de sport.	2022 년은 또한 우리 나라의 예술적, 문화적, 스포츠 영향, 두 개의 노벨상과 많은 위대한 창조와 스포츠의 순간을 다시 한 번 다시 한 번 다시 한 번 다시 한 번이었습니다.	MMXXII et semel iterum in anno artis, culturae, ludentium influentiam nostram patriam, cum duabus Nobel Prizes, et tot moments creaturae et ludos.
De tout cela, de tout ce que nous avons ensemble accomplis durant l’année qui s’achève, soyons fiers.	이 모든 것 중에서, 우리가 한 해 동안 끝나는 모든 것은 자랑스러워하자.	Omnia quae perficitur per annum terminum, erit superbia.
Il nous faut nous munir de cette fierté et de cette confiance pour aborder l’année qui vient.	우리는 내년에 접근하기 위해이 자부심과 자신감을 가져와야합니다.	Nos postulo ut producat hanc superbiam et fiduciam ad accedere ad adventum anni.
Car je crois que cette année 2023 est d’abord celle de questions que je sais inquiétantes, et de crises une fois encore à affronter.	나는 올해 2023 년이 내가 혼란스럽고 다시 한 번 위기되는 질문의 첫 번째 모든 것 중 하나라고 믿기 때문에.	Quia credo quod hoc anno MMXXIII est primum omnium quaestionum quod scio conturbant, et discrimina iterum iterum ad faciem.
Aura-t-on des coupures d’électricité ?	파워 컷이 있습니까?	Non habemus potestatem secat?
Si nous continuons à économiser l’énergie, comme nous le faisons depuis quelques mois, et comme je vous l’annonçais dès le 14 juillet dernier, et que nous continuons de remettre en service nos réacteurs nucléaires comme prévu, nous y arriverons.	우리가 몇 달 동안 해왔 던 것처럼 계속해서 에너지를 절약하고 7 월 14 일부터 당신에게 발표했을 때, 예상대로 원자로를 계속 운영 할 때 우리는 그곳에 도착할 것입니다.	Si permanere servare navitas, ut nos facere paucos menses et nuntiatum est a July XIV, et permanere nuclei reactors in ministerium quod expectata, ut illic.
C’est entre nos mains.	우리 손에 있습니다.	Est in manibus.
Aura-t-on des augmentations du prix de l’énergie ?	에너지 가격이 상승할까요?	Et nos crescit in pretio industria?
Là aussi, nous avons mis des réponses concrètes en place.	다시, 우리는 구체적인 답변을 제자리에 두었습니다.	Iterum, nos posuit concretum responsa in loco.
Je le dis à chacun d’entre vous car alors que les prix de l’énergie ont atteint des niveaux historiques, la hausse restera plafonnée dans notre pays.	에너지 가격이 역사적 수준에 도달했지만 우리나라에서는 상승이 계속 될 것이기 때문에 나는 여러분 각자에게 말합니다.	Dico autem ut quisque vestrum quia cum industria prices sunt pervenit historical campester, augmentum manet capped in patriam.
Je le dis en particulier à nos artisans, nos boulangers, mais aussi à nos entreprises les plus industrielles.	나는 특히 우리의 장인, 베이커, 그리고 대부분의 산업 기업들에게도 그것을 말합니다.	Dico quod maxime ad nostram artifices, pistoribus nostris, sed etiam ad nostram industriae societates.
Dès demain, vous aurez des aides adaptées, en plus du bouclier tarifaire déjà mis en place, de telle sorte que la pérennité de votre activité, de nos emplois et de notre compétitivité puisse être assurée.	내일 현재, 당신은 이미 구현 된 가격 방패 외에도 적절한 원조를 가질 것이므로 활동의 지속 가능성, 우리의 직업 및 경쟁력이 보장 될 수 있습니다.	Ut de crastino, et habebitis idoneam auxilium, praeter pretium scutum iam implemented, ut sustineri tui actio, jobs et noster competitivitas potest esse.
Et, à chaque fois qu’il le faudra, le gouvernement adaptera ses réponses comme il l’a fait à chaque instant.	그리고 필요할 때마다 정부는 매 순간처럼 답을 조정할 것입니다.	Et quolibet tempore est necessarium, imperium et aptet eius responsa, sicut fecit omne momentum.
Surtout, nous accélérerons les solutions pour sortir de nos dépendances et avoir un prix de l’électricité qui correspond à son coût de production.	무엇보다도, 우리는 별채에서 벗어나기 위해 솔루션을 가속화하고 생산 비용에 해당하는 전기 가격을 가질 것입니다.	Supra omnes, ut celeritas sursum solutions ut ex nostris outbuildings et habere pretium pro electricity quod correspondet ad productionem sumptus.
Allons-nous à nouveau subir une vague de Covid, et l’épidémie aura-t-elle une fin ?	우리는 다시 코비의 물결을 겪게 될 것인가, 전염병이 끝날까요?	Sunt enim ad subire unda Covi iterum et erit in epidemiam habere finem?
Là aussi nous pourrons faire face.	여기서도 우리는 직면 할 수 있습니다.	Hic quoque possumus faciem.
D’abord, grâce à l’usage raisonnable et adapté des gestes barrières contre le virus, que nous avons appris.	첫째, 우리가 배운 바이러스에 대한 장벽의 합리적이고 적절한 사용 덕분에.	Primo, gratias ad rationabile et idoneam usum claustra contra virum, quod didicit.
Ensuite, grâce à la vaccination qui a montré son efficacité ; et j’incite ce soir tous nos compatriotes de plus de 70 ans en particulier à faire leur rappel ou à se faire vacciner, si ce n’est pas déjà fait.	그런 다음 그 효과를 보여주는 예방 접종 덕분에;그리고 저는 70 년이 넘는 모든 동포들에게 특히 아직 끝나지 않았다면 오늘 저녁에 리콜을하거나 예방 접종을 받도록 권장합니다.	Deinde gratias ad vaccination quod ostendit efficaciam;Et robora omnes compatriatorum super LXX annis maxime ut revocare aut vaccinated hoc vesperam, si iam.
Enfin, en testant, en séquençant, en établissant les contrôles aux frontières.	마지막으로, 테스트, 시퀀싱, 테두리 제어를 확립함으로써.	Denique per tentationem, sequencing, a constituendum terminus controls.
C’est ce que le Gouvernement a décidé de faire, dans nos aéroports, dès demain, pour les avions arrivant de Chine, où l’épidémie bat son plein et où nombres de restrictions ont été relâchés. 	이것은 내일 우리 공항에서 내일 공항에서 전염병이 본격적이며 많은 제한이 공개 된 곳에서 도착한 비행기를 위해 정부가 결정한 것입니다.	Hoc est quod imperium placuit facere, ad nostram airports, cras, quia plana pervenit ex Sina, ubi pestilentia est in plena adductius et ubi plures restrictiones dimisit.
Devra-t-on travailler plus longtemps en 2023 ?	2023 년에 더 오래 일해야합니까?	Si opus iam in MMXXIII?
Là aussi, comme je m’y suis engagé devant vous, cette année sera en effet celle d’une réforme des retraites qui vise à assurer l’équilibre de notre système pour les années et décennies à venir.	그곳에서도 제가 약속 한대로 올해는 실제로 수년간 수십 년 동안 우리 시스템의 균형을 보장하는 연금 개혁의 것이 될 것입니다.	Ibi quoque, sicut ego commissum est ad eam: hoc anno erit quidem esse quod pensionis reformationis, quae fert ad curare statera nostra ratio pro annis et decennia venire.
Il nous faut travailler davantage, c’est le sens même de la réforme de l’assurance chômage qui a été portée par le Gouvernement et votée par le Parlement.	우리는 더 많은 일을해야합니다. 정부가 수행하고 의회가 투표 한 것은 실업 보험 개혁의 의미입니다.	Opus est opus magis, id est ipsum significatione otium insurance reformationem quod ferri per imperium et voted a parliamento.
C’est aussi le sens de cette réforme sur lequel les partenaires sociaux et le gouvernement, vont travailler dans les mois qui viennent pour finir de mettre en place les nouvelles règles qui s’appliqueront dès la fin de l’été 2023.	이것은 또한 사회 파트너와 정부가 2023 년 여름 말에 적용될 새로운 규칙을 시행하기 위해 앞으로 몇 달 안에 일할 수있는이 개혁의 의미이기도합니다.	Hoc etiam significatione huius reformationis in quo sociali socii et imperium, erit opus in adventu menses ad consummare exsequendam novum praecepta, quae non applicare ad finem aestate MMXXIII.
L’objectif est de consolider nos régimes de retraite par répartition, qui, sans cela, serait menacé, car nous continuons de financer à crédit. Pour se faire, l’allongement de nos carrières de travail sera progressif, il se fera par étapes sur près de dix ans.	목표는 분배 연금 계획을 통합하는 것입니다. 이는 신용에 대한 재정을 계속해서 위협받을 것입니다.그렇게하기 위해, 우리의 직장 경력의 연장은 진보적 일 것이며, 거의 10 년에 걸쳐 단계적으로 이루어질 것입니다.	Objectum est consolidare nostrae distribution pensionem consilia, quae sine hoc, ut non minati, quia permanere ad oeconomicis in credit.Ad hoc, quod deinceps laboris ipsum erit progressivum, erit in gradibus in fere decem annis.
Il sera aussi juste, en tenant compte des carrières longues, des carrières hachées, de la difficulté de certaines tâches, de certains métiers.	또한 긴 경력, 다진 경력, 특정 작업의 어려움, 특정 거래를 고려하여 공정 할 것입니다.	Is mos quoque esse pulchra, taking in propter longum ipsum, concisi gestas, difficultas quaedam munia, quaedam artes.
Mais c’est cela qui nous permettra d’équilibrer le financement de notre retraite, dans notre pays, et c’est une chance, où l’on vit plus longtemps, d’améliorer la retraite minimale pour toutes celles et ceux qui ont travaillé pour avoir leurs trimestres, et de transmettre à nos enfants un modèle social juste et solide, parce qu’il sera crédible et financé dans la durée.	그러나 이것이 우리가 퇴직의 자금 조달의 균형을 잡을 수있게 해줄 것이며, 우리가 더 오래 사는 곳, 분기를 갖기 위해 일한 모든 사람들의 최소 퇴직을 개선하고 우리에게 전달할 수있는 기회입니다. 어린이는 시간이 지남에 따라 신뢰할 수 있고 자금을 조달하기 때문에 공정하고 견고한 사회적 모델입니다.	Sed hoc est quod patitur nos in statera imperdiet, sem nostri secessu, in patria, et factum est casu, ubi vivimus iam ad amplio minimam retirement omnibus qui laboraverunt ad eorum plagas et transmittat ad omnes qui laboraverunt in partes et transmittat ad omnes qui ad suam plagas et transmittat ad omnes qui in partes et transmittat Pueri a pulchra et solidum sociali exemplar, quia erit credibile et financed in tempore.
Dans la longue histoire de notre nation, il y eut des générations pour résister, d’autres pour reconstruire, d’autres encore pour étendre la prospérité conquise.	우리나라의 오랜 역사에는 저항 할 세대가 있었고, 다른 사람들은 재건 할 수있는 세대가 있었고, 다른 사람들은 여전히 ​​정복 된 번영을 확장해야합니다.	Longum historiam nostram generationes resistere aliis aedificare aliis adhuc extendere victos felicitatem.
En ce qui nous concerne, il nous revient d’affronter ce nouveau chapitre d’une rude époque, et au-delà des urgences de cette année, que je viens pour partie de mentionner, d’avoir la charge de refonder nombre des piliers de notre nation, qu’il s’agisse de notre école, de notre santé, de nos transports, de l’aménagement de notre territoire, de nos industries, et j’en passe.	우리가 염려하는 한, 힘든 시대 의이 새로운 장에 직면하는 것은 우리에게 달려 있으며, 방금 언급 한 올해의 비상 사태를 넘어서, 우리나라의 많은 기둥을 수립하는 책임을 맡고 있습니다. 학교, 건강, 교통, 영토의 발전, 산업 등.	Quantum autem est de nobis ad nos faciem hanc novam capitulum lenta era, et ultra hoc anno emerges, quae ego iustus, ut crimen ad refundam multos ex columnis nostris gentis, erit Nostra schola, nostrae salutis nostra onerariam, progressionem nostrae territorii nostri industries et sic est.
Il nous faut, pour cela, rester unis mais aussi maintenir une ambition collective intacte, une ambition pour continuer de transformer notre pays face aux corporatismes, et face à toutes les bonnes raisons de faire comme avant, ou à la tentation de l’esprit de défaite.	이를 위해, 우리는 연합을 유지하고 온전한 집단적 야망, 기업주의에 직면 할 때 우리 나라를 계속 변화시키고, 이전과 같은 모든 좋은 이유, 또는 패배의 정신에 대한 유혹에 직면하려는 야심을 유지해야합니다.	Hoc autem oportet manere sed etiam integrum collective ambitio ambitio permanere transfigurat nostram in faciem corporatisms et adversus omnia bona causas facere prius vel tentationem spiritu.
C’est ainsi que nous serons utiles à notre jeunesse et aux générations qui viennent.	이것이 우리가 젊은이들과 다가오는 세대들에게 유용한 방법입니다.	Hoc est quomodo erimus utilis ad adolescentia et generationes quae veniunt.
Depuis 5 ans, nous avons largement commencé ce travail de transformation, de simplification, de lutte contre les pesanteurs.	5 년 동안, 우리는이 변화, 단순화, 체중에 맞서 싸우는 일을 크게 시작했습니다.	Nam V annos, nos late coepi hoc opus of transformatio, simpliciorem, pugna contra pondus.
Mais c’est parfois trop peu, encore souvent trop lent.	그러나 때로는 너무 적고 종종 너무 느립니다.	Sed suus 'aliquando etiam paulo adhuc saepe tardius.
Et comme vous, je m’impatiente, mais sans jamais céder à la facilité ou à la fatalité.	그리고 당신처럼, 나는 참을성이 없지만, 편안함이나 사망자에게 포기하지 않고.	Et sicut tu, ego adepto impatiens, sed sine semper dare ad otium aut fatum.
Aussi, je nous souhaite pour 2023 par notre travail et notre engagement d’œuvrer à refonder une France plus forte, plus juste, pour la transmettre à nos enfants.	또한, 나는 우리의 일과 더 강력하고 공정한 프랑스를 자녀들에게 전달하기 위해 노력하겠다는 노력으로 2023 년을 기원합니다.	Etiam velim nos MMXXIII per opus et commitment ad operari ad refundam fortius, Fairer Gallia, ut transmit filiis.
C’est par notre travail et notre engagement que nous pourrons augmenter les moyens des forces de sécurité intérieure, de notre justice, de nos Armées, face aux nouveaux défis géopolitiques et à la multiplication des conflits.	우리의 일과 약속을 통해 우리는 내부 안보 세력, 정의, 군대, 새로운 지정 학적 도전과 갈등의 곱셈에 직면 한 수단을 높일 수 있다는 약속입니다.	Est per opus et nostram commitment quod potest crescere media securitate viribus, iustitia nostra exercitibus, adversus novum Geopolitical provocationes et multiplicationem confligit.
C’est par notre travail et notre engagement que nous lutterons plus efficacement contre les trafics, contre l’immigration illégale dans notre Hexagone, comme dans nos outremers.	우리의 일과 헌신을 통해 우리의 아우 트릭에서와 같이 프랑스의 불법 이민에 대해 인신 매매에 대해보다 효과적으로 싸울 것입니다.	Est per opus et nostram commitment ut nos pugnare magis efficacius contra negotiationis, contra illegal immigration in Gallia, sicut in Outremers.
Restons fidèles à nos valeurs, toujours.	항상 우리의 가치에 충실하게합시다.	Sit scriptor maneat fidelis ad nostram values, semper.
Intégrons mieux par la langue et le travail, protégeons les combattantes et les combattants de la liberté, comme celles et ceux qui viennent d’Iran ou d’ailleurs, mais gardons le contrôle de nos frontières, de l’unité de la nation.	언어와 일에 따라 더 잘 통합하면이란이나 다른 곳에서 온 사람들과 같은 자유의 전투기를 보호하지만 국가의 통일성으로부터 국경을 통제하십시오.	Integrate meliorem per linguam et opus, lets 'defendat ad pugnatores libertatis, ut qui ex Iran vel alibi, sed ut imperium nostris terminis, a unitate gentis.
C’est par notre travail et notre engagement que nous bâtirons aussi une nation productive et écologique.	우리의 일과 헌신을 통해 우리는 생산적이고 생태 국가를 건설 할 것입니다.	Est per opus et nostram commitment ut et nos aedificare producta et adipiscing.
Parce que la transition écologique est une bataille que nous devrons gagner, il nous faut la mener avec résolution et méthode.	생태 학적 전환은 우리가 이길 수있는 전투이기 때문에, 우리는 결의와 방법으로 그것을 이끌어야합니다.	Quia adipiscing transitus est proelium nos habere vincere, debemus ducere cum resolutio modum.
La planification écologique sera l’instrument de ce dépassement historique pour baisser nos émissions de C02 et sauver notre biodiversité.	생태 계획은 C02 배출량을 낮추고 생물 다양성을 절약하기 위해이 역사적으로 극복하는 수단이 될 것입니다.	Cuclogum consilio erit instrumentum historiae vincere ad inferiora nostra C02 emissiones et salvificem nostrum biodiversity.
Avec notre plan France 2030, nous continuerons d’investir, d’innover et de déployer une écologie à l’échelle industrielle.	프랑스 2030 계획을 통해 우리는 산업 생태학을 계속 투자, 혁신 및 배포 할 것입니다.	Cum nostris Gallia MMXXXX Plan, nos mos permanere ad obsidendam, innovate et deploy in industriae ecology.
Et après la loi visant à accélérer le déploiement des énergies renouvelables, la loi sur le nucléaire marquera le lancement de la construction de nouvelles centrales sur notre territoire.	그리고 법이 재생 에너지의 배치를 가속화하는 것을 목표로 한 후, 원자력은 우리 영토에 새로운 발전소 건설을 시작할 것입니다.	Et post legem intendebant ad accelerans deployment renovabilis vires, nuclei legem notum est launch ex constructione novae potentia plantis in agro.
C’est par notre travail et notre engagement que nous restaurerons aussi une nation de confiance.	우리의 일과 헌신을 통해 우리는 또한 신뢰 국가를 회복시킬 것입니다.	Est per opus et nostram commitment ut et restituet in gentem fidei.
En rendant chaque jour notre laïcité effective car elle est un principe de liberté. Et elle ne retire rien à la place de la religion dans le for intérieur de chacun, pour tous ceux qui croient, et je salue en cet instant, la mémoire de sa Sainteté Benoît XVI, dont la disparition, je le sais, affecte beaucoup de catholiques en France et dans le monde.	자유의 원칙이기 때문에 매일 우리의 효과적인 세속주의를 만들어냅니다.그리고 그것은 각각의 내부에서 종교 대신에 아무것도 제거하지 않습니다. 믿는 모든 사람들을 위해, 나는이 순간에 경의를 표합니다. 프랑스와 세계.	Per nos efficaciter saecularis quotidie quia principium libertatis.Et non removere aliquid in loco religionis in intus cuiusque, pro omnibus qui credunt, et salutant in hoc momento, in memoria sanctitatis Benedicto XVI, cuius defectio, scio, afficit multum catholicorum Gallia et in mundo.
Cette nation de la confiance sera aussi confortée par une lutte constante contre toutes les discriminations, dans une société de respect et de reconnaissance.	이 신뢰 국가는 또한 존중과 인정의 사회에서 모든 차별에 대한 끊임없는 투쟁으로 강화 될 것입니다.	Gens fiducia confirmari constant certamen contra omnes discrimen, in societate respectu et recognition.
Elle sera aussi renforcée par un combat de chaque jour que nous continuerons de mener pour être aux côtés de celles et ceux qui sont en situation de handicap.	또한 매일 전투에 의해 강화 될 것이며 우리는 장애가있는 사람들과 함께 계속 이어질 것입니다.	Etiam confirmetur per certamine quotidie, ut non permanere ducere ad latere qui cum defectibus.
C’est par notre travail, notre engagement que nous devons refonder nos grands services publics pour qu’ils assurent pleinement notre idéal d’égalité.	우리의 일, 우리는 우리의 주요 공공 서비스에 대한 우리의 이상의 이상을 완전히 확신시키기 위해 우리의 주요 공공 서비스를 수립해야한다는 것은 우리의 노력을 통해서입니다.	Est per opus nostrum, our commitment ut oportet nos refundam nostram major publicum officia ut plene amarificare nostrum specimen aequalitatis.
Avec le Conseil National de la Refondation, nous avons entrepris de renouer le contrat entre les générations et œuvrer à mieux accompagner nos aînés en situation de dépendance.	National Refoundation Council을 통해 우리는 세대 간의 계약을 다시 연결하고 의존의 상황에서 장로들을 더 잘 지원하기 위해 노력했습니다.	Cum nationalibus philosophus consilio nos suscepimus reconnect contractus inter generationem et opus ad meliorem sustentationem senioribus in situ dependentiae.
